time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance
1975/03/10/09:57:49.993503,270,163645069,993503132,map,-25869.6261582,-93280.6712351,1.55207324028,-0.00114102813738,0.00135154030913,0.767611759692,0.640912675625,"(0.0004452955139459263, -4.466920034828769e-05, 0.0, 0.0, 0.0, -4.36653272983457e-05, -4.466920034828771e-05, 0.0006901600069532642, 0.0, 0.0, 0.0, -7.549102652847787e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.366532729834572e-05, -7.54910265284779e-06, 0.0, 0.0, 0.0, 4.608689897112163e-05)"
1975/03/10/09:57:50.009590,271,163645070,9589836,map,-25869.6376359,-93280.6078,1.55207324028,-0.00114139502592,0.00135123048082,0.767785733221,0.640704252566,"(0.00044642148473312155, -4.556811956569212e-05, 0.0, 0.0, 0.0, -4.397081694782011e-05, -4.556811956569215e-05, 0.0006953565125643467, 0.0, 0.0, 0.0, -7.6241971713691156e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.3970816947820144e-05, -7.624197171369119e-06, 0.0, 0.0, 0.0, 4.612538875457443e-05)"
1975/03/10/09:57:50.033720,272,163645070,33719717,map,-25869.6491223,-93280.5436716,1.54772675037,-0.000813506165849,0.00109215930479,0.767947522388,0.640511317818,"(0.0004453099509733409, -4.476088531819147e-05, 0.0, 0.0, 0.0, -4.3894910860922315e-05, -4.4760885318191504e-05, 0.0006891753934161061, 0.0, 0.0, 0.0, -7.634770693427093e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.3894910860922356e-05, -7.634770693427098e-06, 0.0, 0.0, 0.0, 4.603264342079799e-05)"
1975/03/10/09:57:50.049772,273,163645070,49772215,map,-25869.660719,-93280.4791736,1.54772675037,-0.000813787377621,0.00109194978499,0.768112433121,0.640313544665,"(0.00044475910760401264, -4.4406684072422644e-05, 0.0, 0.0, 0.0, -4.392942249100614e-05, -4.440668407242268e-05, 0.0006859745704360269, 0.0, 0.0, 0.0, -7.664166589705953e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.392942249100619e-05, -7.664166589705956e-06, 0.0, 0.0, 0.0, 4.5976545996816445e-05)"
1975/03/10/09:57:50.073902,274,163645070,73901862,map,-25869.6724324,-93280.4142731,1.54772675037,-0.000814068807202,0.00109173999013,0.768277452266,0.640115537802,"(0.0004447642972910927, -4.4530790338209485e-05, 0.0, 0.0, 0.0, -4.406923154273366e-05, -4.453079033820952e-05, 0.0006858722490427576, 0.0, 0.0, 0.0, -7.711637738103052e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.4069231542733704e-05, -7.711637738103057e-06, 0.0, 0.0, 0.0, 4.595489389207369e-05)"
1975/03/10/09:57:50.089987,275,163645070,89987198,map,-25869.6842643,-93280.3489583,1.54772675037,-0.000814352507638,0.00109152838819,0.768443783381,0.639915851639,"(0.00044530497417115254, -4.509196994792691e-05, 0.0, 0.0, 0.0, -4.4308741925762996e-05, -4.509196994792694e-05, 0.0006886183472237159, 0.0, 0.0, 0.0, -7.776408565736688e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.4308741925763044e-05, -7.776408565736693e-06, 0.0, 0.0, 0.0, 4.596485594598049e-05)"
1975/03/10/09:57:50.114118,276,163645070,114117963,map,-25869.6962154,-93280.2832266,1.54772675037,-0.00081463532367,0.00109131733164,0.768609576409,0.639716706401,"(0.0004463576781757053, -4.603371251153882e-05, 0.0, 0.0, 0.0, -4.464280547477171e-05, -4.603371251153885e-05, 0.0006938801546006954, 0.0, 0.0, 0.0, -7.857793124786268e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.4642805474771765e-05, -7.857793124786273e-06, 0.0, 0.0, 0.0, 4.60039950487111e-05)"
1975/03/10/09:57:50.130196,277,163645070,130195651,map,-25869.7084612,-93280.2168783,1.54699683189,-0.0007108739119,0.00097893613458,0.768788158411,0.639502387665,"(0.0004451487120255638, -4.527336241754806e-05, 0.0, 0.0, 0.0, -4.458222919461806e-05, -4.5273362417548085e-05, 0.0006878833611540467, 0.0, 0.0, 0.0, -7.870707820394066e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.458222919461811e-05, -7.870707820394071e-06, 0.0, 0.0, 0.0, 4.5910017281241284e-05)"
1975/03/10/09:57:50.154323,278,163645070,154323373,map,-25869.7214433,-93280.1467745,1.54699683189,-0.000711167886032,0.000978722591996,0.768980186995,0.639271466868,"(0.00044513281823346096, -4.5367937794150835e-05, 0.0, 0.0, 0.0, -4.474368863429874e-05, -4.536793779415086e-05, 0.0006875634584757093, 0.0, 0.0, 0.0, -7.922549698378373e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.4743688634298804e-05, -7.922549698378377e-06, 0.0, 0.0, 0.0, 4.588610654388118e-05)"
1975/03/10/09:57:50.170410,279,163645070,170409508,map,-25869.7338836,-93280.0798094,1.54699683189,-0.000711467653365,0.000978504702299,0.769175971504,0.639035884128,"(0.00044514216208190187, -4.55027621517512e-05, 0.0, 0.0, 0.0, -4.491366078357905e-05, -4.550276215175123e-05, 0.0006874729948512866, 0.0, 0.0, 0.0, -7.97629779844099e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.491366078357911e-05, -7.976297798440993e-06, 0.0, 0.0, 0.0, 4.586251155826577e-05)"
