time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance
1975/03/10/09:57:50.025675,44,163645070,4865000,map,-25869.6308594,-93280.6171875,1.54772675037,-0.000812605263676,0.00109282976834,0.767419076536,0.641144367519,"(0.0025009536743164063, 1.430511474609375e-06, 0.0, 0.0, 0.0, 0.0, 1.430511474609375e-06, 0.002511444091796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000625)"
1975/03/10/09:57:50.122162,45,163645070,103865000,map,-25869.6953125,-93280.2890625,1.54699683189,-0.000710072903771,0.00097951733004,0.768264793542,0.640131065059,"(0.00250154972076416, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0025152587890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000625)"
1975/03/10/09:57:50.226674,46,163645070,204865000,map,-25869.7480469,-93279.953125,1.54574906826,-0.000525646355895,0.000791592279104,0.769350102832,0.638826669372,"(0.002507033348083496, -1.9073486328125e-06, 0.0, 0.0, 0.0, 0.0, -1.9073486328125e-06, 0.00250762939453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000625)"
1975/03/10/09:57:50.323261,47,163645070,303865000,map,-25869.8183594,-93279.6015625,1.54418706894,-0.000393951818177,0.00064662455149,0.770270766298,0.637716503288,"(0.0025007152557373047, -1.430511474609375e-06, 0.0, 0.0, 0.0, 0.0, -1.430511474609375e-06, 0.0025133514404296876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000625)"
1975/03/10/09:57:50.419715,48,163645070,403865000,map,-25869.8867188,-93279.2578125,1.54705429077,-0.000314175840621,0.000663244086645,0.771272213453,0.636505020872,"(0.0025025033950805665, 4.76837158203125e-06, 0.0, 0.0, 0.0, 0.0, 4.76837158203125e-06, 0.002511444091796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000625)"
1975/03/10/09:57:50.524225,49,163645070,504865000,map,-25869.96875,-93278.8828125,1.54634523392,-0.000183522407276,0.000620354186648,0.772202744983,0.635375844642,"(0.0025007152557373047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000625)"
1975/03/10/09:57:50.620725,50,163645070,603865000,map,-25870.0410156,-93278.5,1.54719185829,-2.98245530927e-05,0.000578906430011,0.773451407074,0.63385530781,"(0.0025008344650268555, 9.5367431640625e-07, 0.0, 0.0, 0.0, 0.0, 9.5367431640625e-07, 0.0025095367431640626, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000625)"
1975/03/10/09:57:50.725252,51,163645070,702865000,map,-25870.1171875,-93278.078125,1.5456430912,0.000201165005883,0.000409022279686,0.774807168086,0.632197454995,"(0.0025009536743164063, 1.430511474609375e-06, 0.0, 0.0, 0.0, 0.0, 1.430511474609375e-06, 0.00250762939453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000625)"
1975/03/10/09:57:50.821767,52,163645070,803865000,map,-25870.203125,-93277.703125,1.54343473911,0.000178728860596,0.000281999255253,0.775902840435,0.63085228293,"(0.0025030994415283204, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000625)"
1975/03/10/09:57:50.926188,53,163645070,903864000,map,-25870.2871094,-93277.3125,1.54563343525,7.0087830305e-05,0.000317446211634,0.777189824331,0.629266176831,"(0.0025009536743164063, -1.430511474609375e-06, 0.0, 0.0, 0.0, 0.0, -1.430511474609375e-06, 0.0025095367431640626, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000625)"
